Job Title,Job Experience Required,Location,Functional Area,Industry,Role,Longitude,Latitude,sal
 nutanix sme ,15 - 20 yrs,Bengaluru,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Technical Support Manager,77.590082,12.9767936,1965
 System Architect - 3g/4g Wireless Network Architecture & Migration,10 - 16 yrs,Mumbai,"IT Software - Network Administration , Security","IT-Software, Software Services",Technical Architect,72.8773928,19.075989899999996,3883
"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Ban", 2 - 7 Years," Hyderabad, Bengaluru","IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,77.63703840000001,13.023330999999999,5273
 Java Developer,6 - 8 yrs,Pune,Other,Other,Other,73.8544541,18.521428,4087
 Regional Representative,0 - 3 yrs,Noida,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,77.3271074,28.5707841,4615
 Hiring For Record To Report,1 - 4 yrs,"Gurgaon,Noida","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),77.00270015,28.42826235,6666
 Product & Regional Sales Manager,3 - 6 yrs,Mumbai,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Regional Manager,72.8773928,19.075989899999996,6397
 Senior Manager/associate Director - Mandarin,10 - 15 yrs,"Delhi,Gurgaon","Sales , Retail , Business Development","Internet, Ecommerce",Head / VP/ GM/ National Manager After Sales,77.02225240000001,28.5061017,3009
 ODI Developer/lead ODI Developer - RACI,5 - 10 yrs,Mumbai,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,72.8773928,19.075989899999996,4707
 UI Developer,2 - 4 yrs,Noida,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.3271074,28.5707841,6928
 Assistant Manager ,5 - 8 yrs,Gurgaon,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Associate/Senior Associate -(NonTechnical),77.00270015,28.42826235,2117
 Android Developer,2 - 5 yrs,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.590082,12.9767936,2293
 International BPO / Non Voice Process / Rotational Shift / Ahmedabad,1 - 4 yrs,Ahmedabad,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),72.5797068,23.0216238,6757
 iOS Developer,2 - 5 yrs,"Chandigarh,Chandigarh",IT Software - Mobile,"IT-Software, Software Services",Software Developer,76.7797143,30.733442100000005,3523
 F&A Black belt - Process Excellence Lead,8 - 13 yrs,"Chennai,Gurgaon,Bengaluru","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Team Leader -(NonTechnical),77.56452320000001,13.014902099999999,3759
 IT - Head (preferably from an NGO),15 - 20 yrs,Delhi NCR,Other,"NGO, Social Services, Regulators, Industry Associations",Other,77.12121479999999,28.688243800000002,5898
 Digital Content Producer For largest Media House,3 - 8 yrs,"Bengaluru,Hyderabad","Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer,77.63703840000001,13.023330999999999,3515
 Manager Holidays,6 - 10 yrs,Mumbai,"Sales , Retail , Business Development","Aviation, Aerospace, Aeronautical",Sales/Business Development Manager,72.8773928,19.075989899999996,6136
 Backend Developer,1 - 5 yrs,Bengaluru,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer,77.590082,12.9767936,4176
 JUNIOR BIG DATA ANALYST IN,1 - 3 yrs,Bengaluru,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Business/EDP Analyst,77.590082,12.9767936,2074
 Chief Engineer,11 - 15 yrs,Hyderabad,Top Management,"Travel , Hotels , Restaurants , Airlines , Railways",CEO/MD/Director,78.4740613,17.360589,2994
 Oracle DBA Consultant - Data Guard/rac Modules,2 - 5 yrs,Mumbai,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",DBA,72.8773928,19.075989899999996,1528
 Global HR Operations Analyst,1 - 4 yrs,Gurgaon,"HR , Recruitment , Administration , IR","Industrial Products, Heavy Machinery",HR Executive,77.00270015,28.42826235,6377
 Compiler- Support Engineer,5 - 10 yrs,Bengaluru,"IT Software - Application Programming , Maintenance","Telcom, ISP",Software Developer,77.590082,12.9767936,4462
 Key Accounts Manager,0 - 0 yrs,Bengaluru,"Marketing , Advertising , MR , PR , Media Planning","Telcom, ISP",Client Servicing/Key Account Manager,77.590082,12.9767936,2096
 Head Sales- Coworking Company,7 - 12 yrs,Delhi NCR,"Sales , Retail , Business Development","Real Estate, Property",Head/VP/GM/National Manager -Sales,77.12121479999999,28.688243800000002,6305
" Clubhouse Manager, Facility Manager,",2 - 5 yrs,Bengaluru,Beauty / Fitness / Spa Services,Facility Management,Centre Head / Branch Head / Club Manager,77.590082,12.9767936,3408
 Sales Manager - Education Sales,5 - 7 yrs,Gurgaon,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager,77.00270015,28.42826235,2856
 HR Associate,0 - 2 yrs,Hyderabad,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Executive,78.4740613,17.360589,5736
 Manager / Sr Manager - Digital Ad Sales - Ecommerce,4 - 9 yrs,"Delhi NCR,Mumbai","Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager,121.0977529,14.671973199999998,3637
 Architect Junior/ Middle level,1 - 2 yrs,Noida,"Architecture , Interior Design","BPO, Call Centre, ITeS",Project Architect,77.3271074,28.5707841,2577
 php developer,3 - 4 yrs,Gurgaon,IT Software - Other,"Recruitment, Staffing",Software Developer,77.00270015,28.42826235,4436
 Openstack Engineer / Openstack Admin with Ceph Storage,6 - 11 yrs,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst,77.590082,12.9767936,3679
 Sr. Software Engineer,4 - 8 yrs,Noida,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",Software Developer,77.3271074,28.5707841,5975
 Software Engineering- Mentor,1 - 5 yrs,Bengaluru,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer,77.590082,12.9767936,3935
 Application Tester,3 - 8 yrs,Chennai,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer,80.270186,13.0836939,5256
 Credit Control - Manager / Asst. Manager,3 - 5 yrs,Pune,Other,"Travel , Hotels , Restaurants , Airlines , Railways",Other,73.8544541,18.521428,3675
 Night Shift - Non Voice / Web Chat - BPO,0 - 5 yrs,"Ahmedabad,Gandhinagar,Vadodara","ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),72.6300562,23.087672100000002,1738
 Design Engineer Mechanical,7 - 12 yrs,Kolkata,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure",Design Engineer,88.35769124,22.5414185,6330
 Android developer,1 - 3 yrs,Bengaluru,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,77.590082,12.9767936,4041
 Technical Writer,4 - 7 yrs,Gurgaon,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Technical Writer,77.00270015,28.42826235,3753
" Pro-Engineer , Matlab ,Ansys",3 - 7 yrs,Hyderabad,"Engineering Design , R&D","Recruitment, Staffing",Design Engineer,78.4740613,17.360589,2994
 Business Development Executive - Kolkata,2 - 6 yrs,Kolkata,"Sales , Retail , Business Development","Textiles, Garments, Accessories",Sales/Business Development Manager,88.35769124,22.5414185,6744
 Accountant - UK Based Accounting,1 - 6 yrs,Ahmedabad,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant,72.5797068,23.0216238,5060
